Data ;Jogo 1;Jogo 2;Jogo 3;Jogo 4;Jogo 5;Jogo 6;Jogo 7;Jogo 8;Jogo 9;Jogo 10;Jogo 11;Jogo 12;Jogo 13;Jogo 14
25/08/2008;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio
01/09/2008;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio
08/09/2008;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1
15/09/2008;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2
22/09/2008;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1
29/09/2008;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1
06/10/2008;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1
13/10/2008;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio
20/10/2008;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2
27/10/2008;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1
03/11/2008;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2
10/11/2008;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1
17/11/2008;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1
24/11/2008;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2
01/12/2008;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio
08/12/2008;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2
15/12/2008;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 2
05/01/2009;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio
12/01/2009;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2
19/01/2009;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio
26/01/2009;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 2
02/02/2009;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2
09/02/2009;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 1
16/02/2009;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1
25/02/2009;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1
02/03/2009;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio
09/03/2009;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1
16/03/2009;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 1
23/03/2009;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 1
30/03/2009;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio
06/04/2009;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1
13/04/2009;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1
20/04/2009;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1
27/04/2009;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2
04/05/2009;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio
11/05/2009;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio
18/05/2009;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1
25/05/2009;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2
01/06/2009;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1
08/06/2009;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1
15/06/2009;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio
22/06/2009;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1
29/06/2009;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1
06/07/2009;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1
13/07/2009;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1
20/07/2009;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 1
27/07/2009;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 2
03/08/2009;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1
10/08/2009;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1
17/08/2009;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1
24/08/2009;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1
31/08/2009;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1
08/09/2009;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio
14/09/2009;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2
21/09/2009;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2
28/09/2009;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio
05/10/2009;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2
13/10/2009;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1
19/10/2009;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2
26/10/2009;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2
03/11/2009;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2
09/11/2009;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1
16/11/2009;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1
23/11/2009;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio
30/11/2009;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1
07/12/2009;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 2
14/12/2009;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 2
04/01/2010;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio
11/01/2010;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2
18/01/2010;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna do meio
25/01/2010;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1
01/02/2010;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
08/02/2010;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 2
18/02/2010;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio
22/02/2010;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio
01/03/2010;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2
09/03/2010;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio
15/03/2010;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1
22/03/2010;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1
30/03/2010;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1
05/04/2010;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 1
12/04/2010;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1
19/04/2010;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1
26/04/2010;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 1
03/05/2010;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2
10/05/2010;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1
17/05/2010;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio
24/05/2010;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1
31/05/2010;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2
07/06/2010;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 1
16/06/2010;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio
21/06/2010;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1
25/06/2010;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1
28/06/2010;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio
05/07/2010;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2
15/07/2010;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna do meio
19/07/2010;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1
26/07/2010;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio
02/08/2010;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2
09/08/2010;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1
16/08/2010;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1
23/08/2010;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1
30/08/2010;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio
06/09/2010;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1
13/09/2010;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1
20/09/2010;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna do meio
27/09/2010;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2
04/10/2010;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio
11/10/2010;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2
18/10/2010;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1
25/10/2010;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2
01/11/2010;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2
08/11/2010;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 2
16/11/2010;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio
22/11/2010;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2
29/11/2010;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 1
06/12/2010;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
10/01/2011;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2
17/01/2011;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2
24/01/2011;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1
31/01/2011;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2
07/02/2011;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2
14/02/2011;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio
21/02/2011;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio
28/02/2011;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2
10/03/2011;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 1
14/03/2011;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna 1
