Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Time Coraá∆o;;;;;;;;;;;;;;;;;
04/07/2009;3;8;9;27;28;52;78;PAYSANDU/PA;;;;;;;;;;;;;;;;;
11/07/2009;1;6;21;26;36;40;55;PORT DESPORT;;;;;;;;;;;;;;;;;
18/07/2009;3;7;39;42;48;57;75;TREZE/PB;;;;;;;;;;;;;;;;;
25/07/2009;3;20;25;31;40;51;60;AMêRICA/RJ;;;;;;;;;;;;;;;;;
01/08/2009;6;12;22;50;52;59;72;RIVER/PI;;;;;;;;;;;;;;;;;
08/08/2009;25;34;46;51;52;64;76;TREZE/PB;;;;;;;;;;;;;;;;;
15/08/2009;19;20;23;44;49;57;64;BANGU/RJ;;;;;;;;;;;;;;;;;
22/08/2009;22;38;39;44;48;52;56;VIT‡RIA/BA;;;;;;;;;;;;;;;;;
29/08/2009;2;8;37;39;46;52;80;NACIONAL/AM;;;;;;;;;;;;;;;;;
05/09/2009;8;15;20;42;43;44;48;CRB/AL;;;;;;;;;;;;;;;;;
12/09/2009;6;7;12;15;66;68;80;AMêRICA/RJ;;;;;;;;;;;;;;;;;
19/09/2009;30;42;43;46;57;63;64;FIGUEIRENSE/SC;;;;;;;;;;;;;;;;;
26/09/2009;11;25;28;48;52;62;78;RORAIMA/RR;;;;;;;;;;;;;;;;;
03/10/2009;3;4;7;10;27;34;73;SAMPAIO CORR“A/MA;;;;;;;;;;;;;;;;;
10/10/2009;9;17;21;36;50;64;67;AMêRICA/MG;;;;;;;;;;;;;;;;;
17/10/2009;19;23;32;41;55;71;80;JUVENTUS/SP;;;;;;;;;;;;;;;;;
24/10/2009;11;21;25;34;37;55;72;VASCO DA GAMA/RJ;;;;;;;;;;;;;;;;;
31/10/2009;9;18;19;40;60;65;75;PALMEIRAS/SP;;;;;;;;;;;;;;;;;
07/11/2009;4;8;10;41;62;72;73;RIVER/PI;;;;;;;;;;;;;;;;;
14/11/2009;44;65;68;69;71;73;76;S«O PAULO/SP;;;;;;;;;;;;;;;;;
21/11/2009;5;12;17;25;52;57;76;ATLêTICO/GO;;;;;;;;;;;;;;;;;
28/11/2009;1;4;9;39;40;56;62;YPIRANGA/AP;;;;;;;;;;;;;;;;;
05/12/2009;4;8;17;30;46;47;60;MOTO CLUBE/MA;;;;;;;;;;;;;;;;;
12/12/2009;7;12;34;46;52;56;79;IPATINGA/MG;;;;;;;;;;;;;;;;;
19/12/2009;13;30;34;36;67;73;74;AMêRICA/RN;;;;;;;;;;;;;;;;;
26/12/2009;4;9;20;32;36;51;80;PORT DESPORT;;;;;;;;;;;;;;;;;
09/01/2010;4;15;38;40;45;60;66;AMêRICA/RJ;;;;;;;;;;;;;;;;;
16/01/2010;5;28;35;40;41;50;71;GOIµS/GO;;;;;;;;;;;;;;;;;
23/01/2010;5;12;28;52;60;63;66;LONDRINA/PR;;;;;;;;;;;;;;;;;
30/01/2010;14;36;38;58;70;72;74;PAYSANDU/PA;;;;;;;;;;;;;;;;;
06/02/2010;1;46;59;60;63;76;80;CEARµ/CE;;;;;;;;;;;;;;;;;
13/02/2010;26;28;34;45;48;49;77;GAMA/DF;;;;;;;;;;;;;;;;;
20/02/2010;3;7;16;21;42;71;80;RORAIMA/RR;;;;;;;;;;;;;;;;;
27/02/2010;4;58;61;62;66;69;80;UNI«O S«O JO«O/SP;;;;;;;;;;;;;;;;;
06/03/2010;2;3;10;17;51;52;75;MAR÷LIA/SP;;;;;;;;;;;;;;;;;
13/03/2010;11;17;18;19;59;73;75;INTER LIMEIRA/SP;;;;;;;;;;;;;;;;;
20/03/2010;6;9;13;38;46;58;80;BAHIA/BA;;;;;;;;;;;;;;;;;
27/03/2010;5;20;26;34;38;78;79;CORINTHIANS/SP;;;;;;;;;;;;;;;;;
03/04/2010;8;10;12;15;51;66;68;SANTOS/SP;;;;;;;;;;;;;;;;;
10/04/2010;3;14;24;41;42;59;63;UNI«O S«O JO«O/SP;;;;;;;;;;;;;;;;;
17/04/2010;1;2;8;13;31;67;69;AMêRICA/RJ;;;;;;;;;;;;;;;;;
24/04/2010;5;7;39;50;60;67;70;RIVER/PI;;;;;;;;;;;;;;;;;
30/04/2010;4;17;24;39;69;75;77;UNI«O S.JO«O/SP;;;;;;;;;;;;;;;;;
08/05/2010;17;18;44;60;68;77;79;PALMEIRAS/SP;;;;;;;;;;;;;;;;;
15/05/2010;3;20;35;49;54;55;72;RIO BRANCO/AC;;;;;;;;;;;;;;;;;
22/05/2010;4;12;24;34;54;62;65;XV PIRACICABA;;;;;;;;;;;;;;;;;
29/05/2010;10;33;40;51;61;76;79;CRUZEIRO/MG;;;;;;;;;;;;;;;;;
05/06/2010;29;30;42;59;60;66;68;INTERNACIONAL/RS;;;;;;;;;;;;;;;;;
12/06/2010;11;19;28;41;44;56;72;S«O PAULO/SP;;;;;;;;;;;;;;;;;
19/06/2010;1;7;14;44;46;51;73;BRASILIENSE/DF;;;;;;;;;;;;;;;;;
26/06/2010;8;31;35;43;47;67;76;MAR÷LIA/SP;;;;;;;;;;;;;;;;;
03/07/2010;48;49;52;64;67;69;70;RIVER/PI;;;;;;;;;;;;;;;;;
10/07/2010;3;17;37;54;56;60;61;BRAGANTINO/SP;;;;;;;;;;;;;;;;;
17/07/2010;1;16;20;43;46;70;71;BARUERI/SP;;;;;;;;;;;;;;;;;
21/07/2010;5;19;25;41;56;69;72;BARUERI/SP;;;;;;;;;;;;;;;;;
24/07/2010;16;17;23;30;37;64;72;CORITIBA/PR;;;;;;;;;;;;;;;;;
28/07/2010;1;9;19;35;48;78;79;INTERNACIONAL/RS;;;;;;;;;;;;;;;;;
31/07/2010;8;16;20;27;38;70;78;INTER LIMEIRA/SP;;;;;;;;;;;;;;;;;
04/08/2010;8;10;22;28;55;69;70;FORTALEZA/CE;;;;;;;;;;;;;;;;;
07/08/2010;12;30;45;51;57;68;76;ATLêTICO/GO;;;;;;;;;;;;;;;;;
11/08/2010;4;11;24;39;40;41;42;U BARBARENSE;;;;;;;;;;;;;;;;;
14/08/2010;19;26;36;39;66;71;78;INTERNACIONAL/RS;;;;;;;;;;;;;;;;;
18/08/2010;4;14;20;26;52;62;66;FLUMINENSE/RJ;;;;;;;;;;;;;;;;;
21/08/2010;2;4;49;51;60;75;78;NACIONAL/AM;;;;;;;;;;;;;;;;;
25/08/2010;8;9;23;49;55;58;62;JUVENTUS/SP;;;;;;;;;;;;;;;;;
28/08/2010;3;11;13;22;36;41;52;OPERARIO/MS;;;;;;;;;;;;;;;;;
01/09/2010;15;26;32;50;58;70;71;MIXTO/MT;;;;;;;;;;;;;;;;;
04/09/2010;17;18;33;34;40;60;71;TREZE/PB;;;;;;;;;;;;;;;;;
08/09/2010;1;11;27;31;35;44;61;RIO BRANCO/AC;;;;;;;;;;;;;;;;;
11/09/2010;25;26;27;36;47;66;74;BANGU/RJ;;;;;;;;;;;;;;;;;
15/09/2010;21;26;47;55;62;63;72;CRUZEIRO/MG;;;;;;;;;;;;;;;;;
18/09/2010;40;55;61;65;76;79;80;SANTO ANDRê/SP;;;;;;;;;;;;;;;;;
22/09/2010;1;4;5;26;60;61;62;ITUANO/SP;;;;;;;;;;;;;;;;;
25/09/2010;12;31;32;61;70;75;80;S«O RAIMUNDO/AM;;;;;;;;;;;;;;;;;
29/09/2010;2;35;55;65;67;74;75;ATLêTICO/GO;;;;;;;;;;;;;;;;;
02/10/2010;15;27;43;46;53;56;79;SANTO ANDRê/SP;;;;;;;;;;;;;;;;;
06/10/2010;12;49;61;69;70;76;78;SERGIPE/SE;;;;;;;;;;;;;;;;;
09/10/2010;27;30;39;49;70;73;78;RIO BRANCO/ES;;;;;;;;;;;;;;;;;
13/10/2010;13;15;29;46;61;62;63;S«O RAIMUNDO/AM;;;;;;;;;;;;;;;;;
16/10/2010;8;10;17;40;61;63;79;RORAIMA/RR;;;;;;;;;;;;;;;;;
20/10/2010;1;41;45;47;62;65;79;JUVENTUDE/RS;;;;;;;;;;;;;;;;;
23/10/2010;2;8;16;20;27;51;65;BOTAFOGO/RJ;;;;;;;;;;;;;;;;;
27/10/2010;3;10;15;20;46;57;80;S«O  CAETANO/SP;;;;;;;;;;;;;;;;;
30/10/2010;1;6;14;19;22;36;52;PALMAS/TO;;;;;;;;;;;;;;;;;
03/11/2010;21;23;28;48;55;67;71;CSA/AL;;;;;;;;;;;;;;;;;
06/11/2010;19;27;49;50;69;70;77;SANTO ANDRê/SP;;;;;;;;;;;;;;;;;
10/11/2010;26;29;54;63;67;73;78;AMERICANO/RJ;;;;;;;;;;;;;;;;;
13/11/2010;9;19;26;28;30;35;53;RORAIMA/RR;;;;;;;;;;;;;;;;;
17/11/2010;2;12;28;29;56;70;76;BRASILIENSE/DF;;;;;;;;;;;;;;;;;
20/11/2010;7;16;34;35;45;55;71;FLAMENGO/RJ;;;;;;;;;;;;;;;;;
24/11/2010;47;52;55;56;59;70;80;FIGUEIRENSE/SC;;;;;;;;;;;;;;;;;
27/11/2010;10;23;34;44;47;50;72;PALMEIRAS/SP;;;;;;;;;;;;;;;;;
01/12/2010;22;23;27;51;62;77;80;SANTA CRUZ/PE;;;;;;;;;;;;;;;;;
04/12/2010;7;10;31;33;36;49;63;CSA/AL;;;;;;;;;;;;;;;;;
08/12/2010;13;31;39;45;62;67;80;PONTE PRETA/SP;;;;;;;;;;;;;;;;;
11/12/2010;4;48;51;53;71;72;75;REMO/PA;;;;;;;;;;;;;;;;;
15/12/2010;8;10;24;29;30;40;59;PARANµ/PR;;;;;;;;;;;;;;;;;
18/12/2010;4;15;20;31;47;74;79;TREZE/PB;;;;;;;;;;;;;;;;;
22/12/2010;12;23;24;39;51;63;66;SAMPAIO CORR“A/MA;;;;;;;;;;;;;;;;;
24/12/2010;11;20;27;51;55;56;64;LONDRINA/PR;;;;;;;;;;;;;;;;;
29/12/2010;9;23;26;35;55;64;71;SANTA CRUZ/PE;;;;;;;;;;;;;;;;;
31/12/2010;12;13;26;32;47;57;74;SANTO ANDRê/SP;;;;;;;;;;;;;;;;;
05/01/2011;6;10;34;59;68;70;74;TREZE/PB;;;;;;;;;;;;;;;;;
08/01/2011;1;3;4;14;24;35;48;PAYSANDU/PA;;;;;;;;;;;;;;;;;
12/01/2011;5;13;30;32;59;66;67;XV PIRACICABA;;;;;;;;;;;;;;;;;
19/01/2011;12;25;30;34;59;62;80;RORAIMA/RR;;;;;;;;;;;;;;;;;
22/01/2011;11;27;39;50;71;72;80;IPATINGA/MG;;;;;;;;;;;;;;;;;
26/01/2011;1;38;51;60;63;68;69;MIXTO/MT;;;;;;;;;;;;;;;;;
29/01/2011;16;32;35;36;56;73;74;BOTAFOGO/RJ;;;;;;;;;;;;;;;;;
02/02/2011;6;15;32;33;54;63;80;RIVER/PI;;;;;;;;;;;;;;;;;
05/02/2011;2;3;30;37;51;57;61;UNI«O S«O JO«O/SP;;;;;;;;;;;;;;;;;
09/02/2011;16;24;32;36;39;51;71;MOTO CLUBE/MA;;;;;;;;;;;;;;;;;
12/02/2011;25;36;48;55;59;62;74;NACIONAL/AM;;;;;;;;;;;;;;;;;
16/02/2011;7;26;41;45;50;59;62;PAULISTA/SP;;;;;;;;;;;;;;;;;
19/02/2011;13;29;30;31;34;55;75;AMêRICA/RJ;;;;;;;;;;;;;;;;;
23/02/2011;7;11;30;61;76;77;80;AMêRICA/RJ;;;;;;;;;;;;;;;;;
26/02/2011;27;28;29;73;77;78;79;S«O PAULO/SP;;;;;;;;;;;;;;;;;
02/03/2011;12;17;20;27;31;35;53;A B C/RN;;;;;;;;;;;;;;;;;
