Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Trevo1;Trevo2;;;;;;;;;;;;;;;;;;;;;;;;;
20/09/2025;2;9;10;12;18;48;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
24/09/2025;14;17;27;33;42;50;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
27/09/2025;12;16;23;29;37;38;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
01/10/2025;4;20;29;31;36;46;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
04/10/2025;14;15;19;22;30;31;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
08/10/2025;10;15;23;29;38;42;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
11/10/2025;4;21;29;33;39;42;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
15/10/2025;3;9;19;21;36;49;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
18/10/2025;2;12;24;26;28;29;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
22/10/2025;14;17;22;24;30;38;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
25/10/2025;1;8;10;37;40;45;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
29/10/2025;2;9;10;28;35;36;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
01/11/2025;14;20;24;25;35;39;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
05/11/2025;9;10;18;19;20;38;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
08/11/2025;2;4;7;10;11;29;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2025;12;38;40;43;44;48;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
14/11/2025;11;12;13;25;39;49;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
19/11/2025;2;14;22;36;40;50;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
22/11/2025;4;10;16;34;40;47;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
26/11/2025;7;9;11;41;48;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
29/11/2025;1;10;13;14;28;31;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
03/12/2025;12;16;18;19;35;40;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
06/12/2025;1;8;15;30;37;47;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
10/12/2025;15;16;33;34;40;42;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
13/12/2025;19;29;32;38;42;50;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
17/12/2025;1;18;27;33;48;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
20/12/2025;9;11;22;33;34;49;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
24/12/2025;7;12;14;17;21;41;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
27/12/2025;5;7;11;12;20;29;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/2026;10;11;12;18;36;48;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2026;8;23;28;40;49;50;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2026;3;6;22;23;38;49;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
10/01/2026;11;18;26;29;30;37;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
14/01/2026;20;35;36;38;41;44;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
17/01/2026;1;9;22;31;32;45;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
21/01/2026;1;4;14;18;40;46;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
24/01/2026;8;11;12;15;37;38;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
28/01/2026;9;12;17;29;30;45;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
31/01/2026;13;14;19;21;26;41;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
04/02/2026;16;20;29;34;35;42;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
07/02/2026;4;7;12;25;28;46;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2026;3;19;21;25;27;42;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
14/02/2026;12;13;15;22;23;49;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
18/02/2026;4;13;25;33;41;49;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
21/02/2026;4;12;18;23;39;44;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
25/02/2026;35;36;40;43;47;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
28/02/2026;1;20;28;37;40;43;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
04/03/2026;25;44;45;46;48;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
07/03/2026;1;4;15;16;41;50;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2026;13;32;33;35;42;47;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
14/03/2026;3;18;27;29;34;43;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
18/03/2026;3;5;6;10;16;25;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
21/03/2026;15;27;32;40;41;42;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
25/03/2026;24;31;35;40;41;42;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
28/03/2026;1;18;21;38;41;50;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
01/04/2026;6;9;20;40;41;43;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
04/04/2026;1;16;17;26;34;50;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
08/04/2026;3;4;11;14;16;29;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
11/04/2026;19;20;25;27;38;41;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
15/04/2026;1;18;21;24;37;44;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
18/04/2026;3;6;25;28;31;48;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
22/04/2026;6;14;21;24;44;49;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
25/04/2026;12;15;21;36;37;41;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
29/04/2026;7;18;25;30;42;45;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
