Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;;;;;;;;;;;;;;
17/02/2007;8;29;59;65;80;;;;;;;;;;;;;;
22/02/2007;12;16;17;25;50;;;;;;;;;;;;;;
24/02/2007;27;43;44;56;59;;;;;;;;;;;;;;
27/02/2007;29;50;58;77;78;;;;;;;;;;;;;;
01/03/2007;2;6;15;34;36;;;;;;;;;;;;;;
03/03/2007;8;19;38;42;79;;;;;;;;;;;;;;
06/03/2007;45;46;47;54;65;;;;;;;;;;;;;;
08/03/2007;3;9;27;50;53;;;;;;;;;;;;;;
10/03/2007;31;34;37;39;45;;;;;;;;;;;;;;
13/03/2007;26;39;41;42;74;;;;;;;;;;;;;;
15/03/2007;19;22;26;57;64;;;;;;;;;;;;;;
17/03/2007;12;15;42;58;78;;;;;;;;;;;;;;
20/03/2007;26;29;42;47;68;;;;;;;;;;;;;;
22/03/2007;28;38;52;59;71;;;;;;;;;;;;;;
24/03/2007;8;12;29;62;65;;;;;;;;;;;;;;
27/03/2007;14;31;38;49;73;;;;;;;;;;;;;;
29/03/2007;16;42;49;51;75;;;;;;;;;;;;;;
31/03/2007;9;22;62;63;72;;;;;;;;;;;;;;
03/04/2007;12;40;60;69;77;;;;;;;;;;;;;;
05/04/2007;1;8;32;65;67;;;;;;;;;;;;;;
07/04/2007;12;42;46;49;80;;;;;;;;;;;;;;
10/04/2007;9;24;27;30;68;;;;;;;;;;;;;;
12/04/2007;33;34;71;74;79;;;;;;;;;;;;;;
14/04/2007;16;38;44;76;78;;;;;;;;;;;;;;
17/04/2007;9;35;43;49;78;;;;;;;;;;;;;;
19/04/2007;24;36;44;45;46;;;;;;;;;;;;;;
24/04/2007;8;54;57;64;66;;;;;;;;;;;;;;
26/04/2007;2;16;64;69;77;;;;;;;;;;;;;;
28/04/2007;2;22;31;64;75;;;;;;;;;;;;;;
03/05/2007;22;25;56;76;80;;;;;;;;;;;;;;
05/05/2007;5;9;24;48;77;;;;;;;;;;;;;;
08/05/2007;1;13;27;59;71;;;;;;;;;;;;;;
10/05/2007;37;47;52;72;79;;;;;;;;;;;;;;
12/05/2007;42;60;62;66;75;;;;;;;;;;;;;;
15/05/2007;22;31;34;73;74;;;;;;;;;;;;;;
17/05/2007;16;21;37;38;60;;;;;;;;;;;;;;
19/05/2007;5;12;32;44;54;;;;;;;;;;;;;;
22/05/2007;19;21;55;60;62;;;;;;;;;;;;;;
24/05/2007;6;19;21;27;58;;;;;;;;;;;;;;
26/05/2007;17;37;53;69;80;;;;;;;;;;;;;;
29/05/2007;10;33;42;49;70;;;;;;;;;;;;;;
31/05/2007;2;14;47;53;78;;;;;;;;;;;;;;
02/06/2007;11;38;40;41;78;;;;;;;;;;;;;;
05/06/2007;9;14;56;68;79;;;;;;;;;;;;;;
09/06/2007;27;34;46;55;70;;;;;;;;;;;;;;
12/06/2007;1;13;45;55;58;;;;;;;;;;;;;;
14/06/2007;2;20;30;45;74;;;;;;;;;;;;;;
16/06/2007;3;9;24;33;60;;;;;;;;;;;;;;
19/06/2007;1;10;47;73;75;;;;;;;;;;;;;;
21/06/2007;4;10;26;36;80;;;;;;;;;;;;;;
23/06/2007;5;25;27;62;71;;;;;;;;;;;;;;
26/06/2007;9;39;60;74;79;;;;;;;;;;;;;;
28/06/2007;28;33;42;62;63;;;;;;;;;;;;;;
30/06/2007;20;24;45;56;61;;;;;;;;;;;;;;
03/07/2007;10;21;22;25;63;;;;;;;;;;;;;;
05/07/2007;28;39;42;59;78;;;;;;;;;;;;;;
07/07/2007;11;19;38;48;54;;;;;;;;;;;;;;
10/07/2007;20;26;57;61;63;;;;;;;;;;;;;;
12/07/2007;16;19;34;38;55;;;;;;;;;;;;;;
14/07/2007;12;49;55;67;80;;;;;;;;;;;;;;
17/07/2007;7;21;32;36;52;;;;;;;;;;;;;;
19/07/2007;1;27;44;56;74;;;;;;;;;;;;;;
21/07/2007;26;41;46;55;67;;;;;;;;;;;;;;
24/07/2007;21;31;45;48;55;;;;;;;;;;;;;;
26/07/2007;28;33;42;48;76;;;;;;;;;;;;;;
28/07/2007;2;25;43;53;64;;;;;;;;;;;;;;
31/07/2007;5;21;22;62;77;;;;;;;;;;;;;;
02/08/2007;5;8;35;55;70;;;;;;;;;;;;;;
04/08/2007;26;29;51;59;62;;;;;;;;;;;;;;
07/08/2007;22;32;60;68;72;;;;;;;;;;;;;;
09/08/2007;26;45;69;77;80;;;;;;;;;;;;;;
11/08/2007;33;39;51;56;72;;;;;;;;;;;;;;
14/08/2007;5;16;41;53;68;;;;;;;;;;;;;;
16/08/2007;9;22;26;34;78;;;;;;;;;;;;;;
18/08/2007;2;15;20;32;34;;;;;;;;;;;;;;
21/08/2007;40;42;51;52;66;;;;;;;;;;;;;;
23/08/2007;14;39;41;66;75;;;;;;;;;;;;;;
25/08/2007;15;16;41;42;55;;;;;;;;;;;;;;
28/08/2007;1;10;23;41;76;;;;;;;;;;;;;;
30/08/2007;3;26;47;61;72;;;;;;;;;;;;;;
01/09/2007;34;35;40;48;49;;;;;;;;;;;;;;
04/09/2007;22;29;64;66;70;;;;;;;;;;;;;;
06/09/2007;12;28;45;56;59;;;;;;;;;;;;;;
08/09/2007;27;39;55;71;75;;;;;;;;;;;;;;
11/09/2007;22;32;44;65;74;;;;;;;;;;;;;;
13/09/2007;4;7;25;35;52;;;;;;;;;;;;;;
15/09/2007;26;47;59;64;70;;;;;;;;;;;;;;
18/09/2007;48;53;62;67;77;;;;;;;;;;;;;;
20/09/2007;18;25;28;51;69;;;;;;;;;;;;;;
22/09/2007;12;21;52;60;63;;;;;;;;;;;;;;
25/09/2007;13;25;52;55;71;;;;;;;;;;;;;;
27/09/2007;4;28;51;58;76;;;;;;;;;;;;;;
29/09/2007;3;19;25;29;58;;;;;;;;;;;;;;
02/10/2007;24;25;40;56;75;;;;;;;;;;;;;;
04/10/2007;22;38;40;48;78;;;;;;;;;;;;;;
06/10/2007;30;37;38;45;61;;;;;;;;;;;;;;
09/10/2007;2;4;26;67;80;;;;;;;;;;;;;;
11/10/2007;7;16;21;28;77;;;;;;;;;;;;;;
13/10/2007;3;20;31;37;62;;;;;;;;;;;;;;
16/10/2007;15;18;56;61;68;;;;;;;;;;;;;;
18/10/2007;8;34;37;55;73;;;;;;;;;;;;;;
20/10/2007;20;21;47;57;60;;;;;;;;;;;;;;
23/10/2007;8;16;39;63;71;;;;;;;;;;;;;;
25/10/2007;12;32;51;77;80;;;;;;;;;;;;;;
27/10/2007;9;38;48;68;80;;;;;;;;;;;;;;
30/10/2007;22;29;35;47;76;;;;;;;;;;;;;;
01/11/2007;2;8;50;62;64;;;;;;;;;;;;;;
03/11/2007;19;43;57;58;66;;;;;;;;;;;;;;
06/11/2007;5;10;46;58;80;;;;;;;;;;;;;;
08/11/2007;14;36;49;59;68;;;;;;;;;;;;;;
10/11/2007;9;10;13;23;68;;;;;;;;;;;;;;
13/11/2007;2;29;38;58;63;;;;;;;;;;;;;;
17/11/2007;5;16;30;47;73;;;;;;;;;;;;;;
20/11/2007;23;31;38;51;58;;;;;;;;;;;;;;
22/11/2007;8;41;64;66;68;;;;;;;;;;;;;;
24/11/2007;2;25;29;48;61;;;;;;;;;;;;;;
27/11/2007;1;28;30;42;68;;;;;;;;;;;;;;
29/11/2007;6;10;44;48;57;;;;;;;;;;;;;;
01/12/2007;4;19;35;42;49;;;;;;;;;;;;;;
04/12/2007;8;21;29;58;62;;;;;;;;;;;;;;
06/12/2007;12;13;29;35;65;;;;;;;;;;;;;;
08/12/2007;12;14;27;41;72;;;;;;;;;;;;;;
11/12/2007;5;21;61;79;80;;;;;;;;;;;;;;
13/12/2007;10;33;41;45;78;;;;;;;;;;;;;;
15/12/2007;10;12;38;52;75;;;;;;;;;;;;;;
18/12/2007;13;16;31;35;51;;;;;;;;;;;;;;
20/12/2007;2;13;31;56;71;;;;;;;;;;;;;;
22/12/2007;8;16;23;26;55;;;;;;;;;;;;;;
27/12/2007;9;20;21;39;65;;;;;;;;;;;;;;
29/12/2007;8;9;37;38;40;;;;;;;;;;;;;;
03/01/2008;14;24;37;39;76;;;;;;;;;;;;;;
05/01/2008;17;18;36;37;40;;;;;;;;;;;;;;
08/01/2008;15;24;30;44;77;;;;;;;;;;;;;;
10/01/2008;16;54;61;75;80;;;;;;;;;;;;;;
12/01/2008;18;39;49;55;80;;;;;;;;;;;;;;
15/01/2008;6;23;36;66;69;;;;;;;;;;;;;;
17/01/2008;8;21;38;61;67;;;;;;;;;;;;;;
19/01/2008;32;53;67;69;71;;;;;;;;;;;;;;
22/01/2008;8;38;50;60;67;;;;;;;;;;;;;;
24/01/2008;2;23;67;74;77;;;;;;;;;;;;;;
26/01/2008;1;2;11;42;44;;;;;;;;;;;;;;
29/01/2008;35;44;51;59;67;;;;;;;;;;;;;;
31/01/2008;17;18;27;68;80;;;;;;;;;;;;;;
02/02/2008;4;14;49;58;79;;;;;;;;;;;;;;
07/02/2008;39;41;48;71;79;;;;;;;;;;;;;;
09/02/2008;28;38;43;60;79;;;;;;;;;;;;;;
12/02/2008;4;24;28;39;61;;;;;;;;;;;;;;
14/02/2008;6;21;26;64;75;;;;;;;;;;;;;;
16/02/2008;7;13;42;56;69;;;;;;;;;;;;;;
19/02/2008;8;26;38;56;58;;;;;;;;;;;;;;
21/02/2008;14;15;54;68;75;;;;;;;;;;;;;;
23/02/2008;35;41;57;64;66;;;;;;;;;;;;;;
26/02/2008;23;38;49;51;71;;;;;;;;;;;;;;
28/02/2008;8;20;33;41;44;;;;;;;;;;;;;;
01/03/2008;20;42;56;75;76;;;;;;;;;;;;;;
04/03/2008;14;41;51;73;80;;;;;;;;;;;;;;
06/03/2008;7;32;49;60;75;;;;;;;;;;;;;;
08/03/2008;3;7;54;59;63;;;;;;;;;;;;;;
11/03/2008;22;25;28;72;77;;;;;;;;;;;;;;
13/03/2008;3;16;21;67;78;;;;;;;;;;;;;;
15/03/2008;17;28;51;56;75;;;;;;;;;;;;;;
18/03/2008;13;40;65;69;77;;;;;;;;;;;;;;
20/03/2008;2;43;59;68;75;;;;;;;;;;;;;;
22/03/2008;18;20;25;35;62;;;;;;;;;;;;;;
25/03/2008;16;26;29;32;74;;;;;;;;;;;;;;
27/03/2008;6;8;15;42;59;;;;;;;;;;;;;;
29/03/2008;12;14;36;64;80;;;;;;;;;;;;;;
01/04/2008;17;42;55;70;79;;;;;;;;;;;;;;
03/04/2008;27;38;59;67;75;;;;;;;;;;;;;;
05/04/2008;10;17;18;28;31;;;;;;;;;;;;;;
08/04/2008;9;40;50;52;58;;;;;;;;;;;;;;
10/04/2008;16;17;45;50;62;;;;;;;;;;;;;;
12/04/2008;28;31;47;51;59;;;;;;;;;;;;;;
15/04/2008;14;23;54;58;80;;;;;;;;;;;;;;
17/04/2008;27;43;45;49;69;;;;;;;;;;;;;;
19/04/2008;16;33;54;56;59;;;;;;;;;;;;;;
22/04/2008;20;32;46;48;62;;;;;;;;;;;;;;
24/04/2008;24;29;46;74;76;;;;;;;;;;;;;;
26/04/2008;8;15;43;53;72;;;;;;;;;;;;;;
29/04/2008;12;17;54;58;67;;;;;;;;;;;;;;
03/05/2008;3;24;43;47;63;;;;;;;;;;;;;;
06/05/2008;22;29;72;78;79;;;;;;;;;;;;;;
08/05/2008;11;38;42;46;74;;;;;;;;;;;;;;
10/05/2008;8;35;42;54;57;;;;;;;;;;;;;;
13/05/2008;22;34;35;48;80;;;;;;;;;;;;;;
15/05/2008;7;17;26;41;63;;;;;;;;;;;;;;
17/05/2008;2;13;16;59;61;;;;;;;;;;;;;;
20/05/2008;15;23;29;53;64;;;;;;;;;;;;;;
24/05/2008;5;34;61;67;77;;;;;;;;;;;;;;
27/05/2008;27;38;45;72;78;;;;;;;;;;;;;;
29/05/2008;1;2;4;41;72;;;;;;;;;;;;;;
31/05/2008;34;40;65;66;76;;;;;;;;;;;;;;
03/06/2008;7;13;25;61;78;;;;;;;;;;;;;;
05/06/2008;5;14;32;55;56;;;;;;;;;;;;;;
07/06/2008;1;35;36;44;67;;;;;;;;;;;;;;
10/06/2008;10;27;54;59;75;;;;;;;;;;;;;;
12/06/2008;42;43;65;66;70;;;;;;;;;;;;;;
14/06/2008;5;16;50;51;57;;;;;;;;;;;;;;
17/06/2008;32;36;41;51;76;;;;;;;;;;;;;;
19/06/2008;14;22;45;64;72;;;;;;;;;;;;;;
21/06/2008;38;42;57;62;68;;;;;;;;;;;;;;
24/06/2008;22;49;59;66;76;;;;;;;;;;;;;;
26/06/2008;4;8;37;44;50;;;;;;;;;;;;;;
28/06/2008;4;39;46;68;71;;;;;;;;;;;;;;
01/07/2008;8;10;22;66;76;;;;;;;;;;;;;;
03/07/2008;23;60;62;68;80;;;;;;;;;;;;;;
05/07/2008;47;51;58;60;76;;;;;;;;;;;;;;
08/07/2008;10;34;37;74;77;;;;;;;;;;;;;;
10/07/2008;24;40;42;52;74;;;;;;;;;;;;;;
12/07/2008;4;39;50;62;76;;;;;;;;;;;;;;
15/07/2008;2;20;23;43;51;;;;;;;;;;;;;;
17/07/2008;12;28;29;34;71;;;;;;;;;;;;;;
19/07/2008;26;28;51;64;74;;;;;;;;;;;;;;
22/07/2008;20;48;60;73;77;;;;;;;;;;;;;;
24/07/2008;8;39;48;71;75;;;;;;;;;;;;;;
26/07/2008;17;42;48;54;68;;;;;;;;;;;;;;
29/07/2008;14;27;32;51;58;;;;;;;;;;;;;;
31/07/2008;9;40;60;61;67;;;;;;;;;;;;;;
02/08/2008;22;38;40;63;66;;;;;;;;;;;;;;
05/08/2008;7;8;59;64;65;;;;;;;;;;;;;;
07/08/2008;15;21;22;34;79;;;;;;;;;;;;;;
09/08/2008;2;13;50;71;80;;;;;;;;;;;;;;
12/08/2008;12;20;22;42;79;;;;;;;;;;;;;;
14/08/2008;9;13;35;45;70;;;;;;;;;;;;;;
16/08/2008;27;42;56;63;65;;;;;;;;;;;;;;
19/08/2008;7;8;9;50;75;;;;;;;;;;;;;;
21/08/2008;36;44;45;60;66;;;;;;;;;;;;;;
23/08/2008;12;30;46;54;56;;;;;;;;;;;;;;
26/08/2008;29;46;52;55;73;;;;;;;;;;;;;;
28/08/2008;16;28;33;57;61;;;;;;;;;;;;;;
30/08/2008;16;23;26;55;59;;;;;;;;;;;;;;
02/09/2008;10;14;62;63;75;;;;;;;;;;;;;;
04/09/2008;16;18;42;54;61;;;;;;;;;;;;;;
06/09/2008;47;51;54;56;80;;;;;;;;;;;;;;
09/09/2008;7;18;49;53;71;;;;;;;;;;;;;;
11/09/2008;1;9;29;75;76;;;;;;;;;;;;;;
13/09/2008;11;13;44;52;80;;;;;;;;;;;;;;
16/09/2008;5;24;43;63;75;;;;;;;;;;;;;;
18/09/2008;3;14;18;67;73;;;;;;;;;;;;;;
20/09/2008;27;28;55;59;71;;;;;;;;;;;;;;
23/09/2008;37;43;51;68;72;;;;;;;;;;;;;;
25/09/2008;20;22;30;39;53;;;;;;;;;;;;;;
27/09/2008;32;44;49;73;77;;;;;;;;;;;;;;
30/09/2008;3;6;33;47;60;;;;;;;;;;;;;;
02/10/2008;9;13;15;28;59;;;;;;;;;;;;;;
04/10/2008;10;27;32;33;42;;;;;;;;;;;;;;
07/10/2008;19;21;43;72;79;;;;;;;;;;;;;;
09/10/2008;7;11;30;36;52;;;;;;;;;;;;;;
11/10/2008;1;5;11;72;76;;;;;;;;;;;;;;
14/10/2008;7;19;23;31;37;;;;;;;;;;;;;;
16/10/2008;8;10;19;20;32;;;;;;;;;;;;;;
18/10/2008;2;27;29;35;78;;;;;;;;;;;;;;
21/10/2008;3;15;24;65;75;;;;;;;;;;;;;;
23/10/2008;5;16;26;60;80;;;;;;;;;;;;;;
25/10/2008;4;29;40;50;55;;;;;;;;;;;;;;
28/10/2008;13;19;23;30;32;;;;;;;;;;;;;;
30/10/2008;11;29;31;38;52;;;;;;;;;;;;;;
01/11/2008;36;53;56;62;71;;;;;;;;;;;;;;
04/11/2008;14;49;54;57;76;;;;;;;;;;;;;;
06/11/2008;7;31;66;75;78;;;;;;;;;;;;;;
08/11/2008;19;49;51;63;78;;;;;;;;;;;;;;
11/11/2008;5;29;42;44;76;;;;;;;;;;;;;;
13/11/2008;21;24;37;57;60;;;;;;;;;;;;;;
16/11/2008;10;30;35;37;65;;;;;;;;;;;;;;
18/11/2008;8;37;43;45;68;;;;;;;;;;;;;;
20/11/2008;6;24;68;74;80;;;;;;;;;;;;;;
22/11/2008;7;24;26;50;66;;;;;;;;;;;;;;
25/11/2008;24;26;38;47;80;;;;;;;;;;;;;;
27/11/2008;5;31;33;53;73;;;;;;;;;;;;;;
29/11/2008;27;29;67;69;74;;;;;;;;;;;;;;
02/12/2008;3;12;52;54;67;;;;;;;;;;;;;;
04/12/2008;28;34;65;66;70;;;;;;;;;;;;;;
06/12/2008;15;42;46;50;76;;;;;;;;;;;;;;
09/12/2008;3;15;40;69;80;;;;;;;;;;;;;;
11/12/2008;24;27;43;63;80;;;;;;;;;;;;;;
13/12/2008;3;4;53;58;66;;;;;;;;;;;;;;
16/12/2008;9;23;33;40;42;;;;;;;;;;;;;;
18/12/2008;4;21;26;35;57;;;;;;;;;;;;;;
20/12/2008;9;25;32;40;69;;;;;;;;;;;;;;
23/12/2008;3;31;50;75;79;;;;;;;;;;;;;;
27/12/2008;8;11;22;56;65;;;;;;;;;;;;;;
30/12/2008;8;18;30;44;70;;;;;;;;;;;;;;
03/01/2009;1;15;16;70;73;;;;;;;;;;;;;;
06/01/2009;2;18;41;45;46;;;;;;;;;;;;;;
08/01/2009;5;29;59;62;72;;;;;;;;;;;;;;
10/01/2009;11;13;26;64;66;;;;;;;;;;;;;;
13/01/2009;8;15;19;44;56;;;;;;;;;;;;;;
15/01/2009;6;32;41;52;53;;;;;;;;;;;;;;
17/01/2009;11;27;69;75;76;;;;;;;;;;;;;;
20/01/2009;10;30;60;71;78;;;;;;;;;;;;;;
22/01/2009;2;10;14;55;77;;;;;;;;;;;;;;
24/01/2009;1;4;13;22;72;;;;;;;;;;;;;;
27/01/2009;1;38;41;44;70;;;;;;;;;;;;;;
29/01/2009;21;30;54;66;71;;;;;;;;;;;;;;
31/01/2009;23;42;53;64;74;;;;;;;;;;;;;;
03/02/2009;7;22;42;45;49;;;;;;;;;;;;;;
05/02/2009;13;14;25;58;70;;;;;;;;;;;;;;
07/02/2009;11;18;26;27;66;;;;;;;;;;;;;;
10/02/2009;3;24;35;56;62;;;;;;;;;;;;;;
12/02/2009;8;10;44;61;71;;;;;;;;;;;;;;
14/02/2009;12;40;49;56;76;;;;;;;;;;;;;;
17/02/2009;21;26;32;39;51;;;;;;;;;;;;;;
19/02/2009;27;37;46;67;70;;;;;;;;;;;;;;
21/02/2009;3;10;35;45;47;;;;;;;;;;;;;;
26/02/2009;10;12;19;20;34;;;;;;;;;;;;;;
28/02/2009;31;34;55;58;67;;;;;;;;;;;;;;
03/03/2009;33;35;56;60;74;;;;;;;;;;;;;;
05/03/2009;4;15;28;43;80;;;;;;;;;;;;;;
07/03/2009;19;36;39;42;53;;;;;;;;;;;;;;
10/03/2009;35;45;59;68;74;;;;;;;;;;;;;;
12/03/2009;3;43;45;58;80;;;;;;;;;;;;;;
14/03/2009;1;19;26;49;75;;;;;;;;;;;;;;
17/03/2009;1;6;21;52;63;;;;;;;;;;;;;;
19/03/2009;4;18;31;61;66;;;;;;;;;;;;;;
21/03/2009;21;28;46;71;72;;;;;;;;;;;;;;
24/03/2009;10;13;41;61;76;;;;;;;;;;;;;;
26/03/2009;2;46;60;71;78;;;;;;;;;;;;;;
28/03/2009;6;9;16;57;60;;;;;;;;;;;;;;
31/03/2009;8;44;52;63;64;;;;;;;;;;;;;;
02/04/2009;2;14;30;59;64;;;;;;;;;;;;;;
04/04/2009;16;39;58;60;73;;;;;;;;;;;;;;
07/04/2009;1;2;12;16;56;;;;;;;;;;;;;;
09/04/2009;29;33;54;71;72;;;;;;;;;;;;;;
11/04/2009;14;39;45;66;73;;;;;;;;;;;;;;
14/04/2009;10;17;25;27;31;;;;;;;;;;;;;;
16/04/2009;2;4;12;16;73;;;;;;;;;;;;;;
18/04/2009;16;31;35;45;51;;;;;;;;;;;;;;
23/04/2009;2;9;17;19;49;;;;;;;;;;;;;;
25/04/2009;3;6;32;65;78;;;;;;;;;;;;;;
28/04/2009;2;7;47;54;72;;;;;;;;;;;;;;
30/04/2009;20;29;49;72;74;;;;;;;;;;;;;;
02/05/2009;4;30;43;50;62;;;;;;;;;;;;;;
05/05/2009;5;12;38;72;77;;;;;;;;;;;;;;
07/05/2009;27;40;44;58;76;;;;;;;;;;;;;;
09/05/2009;14;27;30;32;50;;;;;;;;;;;;;;
12/05/2009;16;45;61;75;76;;;;;;;;;;;;;;
14/05/2009;17;37;40;63;79;;;;;;;;;;;;;;
16/05/2009;16;24;38;39;77;;;;;;;;;;;;;;
19/05/2009;11;29;30;34;66;;;;;;;;;;;;;;
21/05/2009;20;39;48;64;65;;;;;;;;;;;;;;
23/05/2009;5;40;43;65;72;;;;;;;;;;;;;;
26/05/2009;11;23;41;42;77;;;;;;;;;;;;;;
28/05/2009;11;17;48;52;77;;;;;;;;;;;;;;
30/05/2009;4;7;60;68;72;;;;;;;;;;;;;;
02/06/2009;15;16;40;51;69;;;;;;;;;;;;;;
04/06/2009;20;36;44;52;63;;;;;;;;;;;;;;
06/06/2009;9;10;22;34;72;;;;;;;;;;;;;;
09/06/2009;1;4;8;70;79;;;;;;;;;;;;;;
13/06/2009;8;20;38;71;79;;;;;;;;;;;;;;
16/06/2009;3;10;11;13;28;;;;;;;;;;;;;;
18/06/2009;8;29;45;51;72;;;;;;;;;;;;;;
20/06/2009;15;18;58;59;60;;;;;;;;;;;;;;
23/06/2009;18;41;45;68;72;;;;;;;;;;;;;;
25/06/2009;5;7;25;36;63;;;;;;;;;;;;;;
27/06/2009;3;35;52;53;66;;;;;;;;;;;;;;
30/06/2009;13;14;53;54;64;;;;;;;;;;;;;;
02/07/2009;17;32;34;48;76;;;;;;;;;;;;;;
04/07/2009;40;55;73;75;78;;;;;;;;;;;;;;
07/07/2009;7;23;30;50;79;;;;;;;;;;;;;;
09/07/2009;11;28;33;49;52;;;;;;;;;;;;;;
11/07/2009;19;20;55;60;74;;;;;;;;;;;;;;
14/07/2009;2;42;46;50;78;;;;;;;;;;;;;;
16/07/2009;9;13;41;58;60;;;;;;;;;;;;;;
18/07/2009;4;11;30;34;62;;;;;;;;;;;;;;
21/07/2009;3;6;30;47;72;;;;;;;;;;;;;;
23/07/2009;16;17;48;73;80;;;;;;;;;;;;;;
25/07/2009;7;20;25;36;73;;;;;;;;;;;;;;
28/07/2009;2;13;22;34;61;;;;;;;;;;;;;;
30/07/2009;15;47;51;68;72;;;;;;;;;;;;;;
01/08/2009;1;27;30;40;71;;;;;;;;;;;;;;
04/08/2009;15;45;63;64;66;;;;;;;;;;;;;;
06/08/2009;10;33;59;60;80;;;;;;;;;;;;;;
08/08/2009;42;47;52;69;70;;;;;;;;;;;;;;
11/08/2009;31;34;54;56;71;;;;;;;;;;;;;;
13/08/2009;23;44;45;51;68;;;;;;;;;;;;;;
15/08/2009;1;2;4;9;67;;;;;;;;;;;;;;
18/08/2009;14;28;48;67;69;;;;;;;;;;;;;;
20/08/2009;7;11;46;53;55;;;;;;;;;;;;;;
22/08/2009;4;56;57;62;65;;;;;;;;;;;;;;
25/08/2009;26;34;37;44;45;;;;;;;;;;;;;;
27/08/2009;3;51;54;55;57;;;;;;;;;;;;;;
29/08/2009;37;40;43;50;58;;;;;;;;;;;;;;
01/09/2009;7;13;17;32;61;;;;;;;;;;;;;;
03/09/2009;1;27;32;57;77;;;;;;;;;;;;;;
05/09/2009;4;6;7;62;74;;;;;;;;;;;;;;
08/09/2009;9;42;60;72;79;;;;;;;;;;;;;;
10/09/2009;5;11;35;44;78;;;;;;;;;;;;;;
12/09/2009;1;5;8;25;80;;;;;;;;;;;;;;
15/09/2009;9;28;36;41;79;;;;;;;;;;;;;;
17/09/2009;2;20;27;56;61;;;;;;;;;;;;;;
19/09/2009;41;55;62;75;80;;;;;;;;;;;;;;
22/09/2009;14;61;62;64;72;;;;;;;;;;;;;;
24/09/2009;47;51;61;62;75;;;;;;;;;;;;;;
26/09/2009;13;33;40;57;69;;;;;;;;;;;;;;
29/09/2009;10;12;52;65;70;;;;;;;;;;;;;;
01/10/2009;17;49;50;51;78;;;;;;;;;;;;;;
03/10/2009;49;61;64;71;75;;;;;;;;;;;;;;
05/10/2009;1;4;20;58;74;;;;;;;;;;;;;;
06/10/2009;20;21;64;74;76;;;;;;;;;;;;;;
07/10/2009;7;21;60;72;75;;;;;;;;;;;;;;
08/10/2009;16;18;26;37;80;;;;;;;;;;;;;;
09/10/2009;19;35;45;60;77;;;;;;;;;;;;;;
10/10/2009;14;17;21;25;42;;;;;;;;;;;;;;
13/10/2009;16;44;46;51;66;;;;;;;;;;;;;;
14/10/2009;2;13;20;38;50;;;;;;;;;;;;;;
15/10/2009;9;25;37;40;70;;;;;;;;;;;;;;
16/10/2009;7;19;40;63;80;;;;;;;;;;;;;;
17/10/2009;12;22;31;36;77;;;;;;;;;;;;;;
19/10/2009;27;44;54;70;73;;;;;;;;;;;;;;
20/10/2009;4;6;11;56;67;;;;;;;;;;;;;;
21/10/2009;2;47;58;66;68;;;;;;;;;;;;;;
22/10/2009;5;26;27;46;59;;;;;;;;;;;;;;
23/10/2009;9;17;46;47;72;;;;;;;;;;;;;;
25/10/2009;16;48;53;61;74;;;;;;;;;;;;;;
26/10/2009;6;37;41;52;55;;;;;;;;;;;;;;
27/10/2009;13;35;60;63;73;;;;;;;;;;;;;;
28/10/2009;3;13;22;39;69;;;;;;;;;;;;;;
29/10/2009;14;22;38;39;80;;;;;;;;;;;;;;
30/10/2009;13;21;64;66;80;;;;;;;;;;;;;;
31/10/2009;7;10;40;45;49;;;;;;;;;;;;;;
03/11/2009;3;20;45;58;68;;;;;;;;;;;;;;
04/11/2009;9;13;58;69;72;;;;;;;;;;;;;;
05/11/2009;19;52;56;70;74;;;;;;;;;;;;;;
06/11/2009;46;53;72;77;79;;;;;;;;;;;;;;
07/11/2009;5;22;52;62;67;;;;;;;;;;;;;;
09/11/2009;13;15;21;52;72;;;;;;;;;;;;;;
10/11/2009;6;28;34;44;60;;;;;;;;;;;;;;
11/11/2009;1;20;51;62;74;;;;;;;;;;;;;;
12/11/2009;6;7;9;53;67;;;;;;;;;;;;;;
13/11/2009;6;8;37;46;53;;;;;;;;;;;;;;
14/11/2009;4;15;35;42;46;;;;;;;;;;;;;;
16/11/2009;7;29;40;41;53;;;;;;;;;;;;;;
17/11/2009;10;21;38;57;59;;;;;;;;;;;;;;
18/11/2009;6;38;42;60;67;;;;;;;;;;;;;;
19/11/2009;15;28;49;61;80;;;;;;;;;;;;;;
20/11/2009;22;41;58;60;78;;;;;;;;;;;;;;
21/11/2009;1;18;20;50;70;;;;;;;;;;;;;;
25/11/2009;29;36;44;54;59;;;;;;;;;;;;;;
25/11/2009;7;68;71;74;76;;;;;;;;;;;;;;
25/11/2009;8;18;34;35;67;;;;;;;;;;;;;;
26/11/2009;2;10;32;43;77;;;;;;;;;;;;;;
27/11/2009;2;4;39;72;73;;;;;;;;;;;;;;
28/11/2009;10;14;29;47;65;;;;;;;;;;;;;;
30/11/2009;16;30;34;43;51;;;;;;;;;;;;;;
01/12/2009;3;22;63;68;74;;;;;;;;;;;;;;
02/12/2009;49;59;68;75;77;;;;;;;;;;;;;;
03/12/2009;2;18;35;50;54;;;;;;;;;;;;;;
04/12/2009;5;15;17;42;60;;;;;;;;;;;;;;
05/12/2009;22;41;48;71;76;;;;;;;;;;;;;;
07/12/2009;16;45;46;50;77;;;;;;;;;;;;;;
